# Non-state 'UNIVERSITY OF ...' patterns (8,646 entries)
# Sorted by total donation amount (descending)
# Format: NAME	COUNT	TOTAL_DONATIONS

UNIVERSITY OF PITTSBURGH	3948	2502698620.0
UNIVERSITY OF CINCINNATI	1392	1428233550.0
UNIVERSITY OF SOUTHERN CALIFORNIA	4344	1300208952.0
UNIVERSITY OF CHICAGO	4000	1228030530.0
UNIVERSITY OF LOUISVILLE	726	978547056.0
UNIVERSITY OF MIAMI	3112	822907654.0
UNIVERSITY OF NOTRE DAME	2884	712721928.0
UNIVERSITY OF SOUTH FLORIDA	962	670637546.0
UNIVERSITY OF NOTRE DAME DU LAC	1372	504994672.0
BROWN UNIVERSITY OF PROVIDENCE	452	430822046.0
UNIVERSITY OF ST THOMAS	1274	364795532.0
University of Chicago	750	310546984.0
UNIVERSITY OF CENTRAL FLORIDA	668	308634474.0
UNIVERSITY OF ROCHESTER	2426	288842576.0
UNIVERSITY OF HOUSTON	1146	273300718.0
University of Pittsburgh	414	254707706.0
CHANCELLOR MASTERS & SCHOLARS OF THE UNIVERSITY OF OXFORD	260	227222024.0
University of South Florida	146	213477386.0
UNIVERSITY OF MEMPHIS	302	202601100.0
UNIVERSITY OF CA SANTA CRUZ	30	201327048.0
THE UNIVERSITY OF TULSA	150	198023352.0
LOYOLA UNIVERSITY OF CHICAGO	454	189688272.0
UNIVERSITY OF SOUTH ALABAMA	552	178324346.0
UNIVERSITY OF TOLEDO	400	175824904.0
UNIVERSITY OF OXFORD	184	175004588.0
UNIVERSITY OF DENVER	1296	167664252.0
University of Miami	466	158753588.0
UNIVERSITY OF NORTH TEXAS	694	154871338.0
THE UNIVERSITY OF AKRON	218	153296486.0
UNIVERSITY OF CINCINNATI FOUNDATION	1032	145344568.0
UNIVERSITY OF MANITOBA	94	143504244.0
University of Southern California	556	141466704.0
UNIVERSITY OF NORTHERN COLORADO	186	141240494.0
University of Cincinnati	152	129468374.0
UNIVERSITY OF SAN FRANCISCO	782	129030414.0
THE UNIVERSITY OF CHICAGO	870	127393250.0
STONY BROOK UNIVERSITY OFFICE	10	125412204.0
UNIVERSITY OF TULSA	444	116364906.0
University of Houston	364	110474734.0
QUEENS UNIVERSITY OF CHARLOTTE	416	107474886.0
University of Notre Dame	418	104519298.0
UNIVERSITY OF MISS MEDICAL CENTER	8	104176886.0
University of Miami Hospital	4	100434000.0
UNIVERSITY OF CENTRAL FLORIDA FOUNDATION INC	380	99468336.0
UNIVERSITY OF MS	16	94672014.0
UNIVERSITY OF DAYTON	1058	86654508.0
UNIVERSITY OF TN AT CHATTANOOGA	14	86191264.0
Catholic University of America	100	83397290.0
THE UNIVERSITY OF AL IN HUNTSVILLE	22	81034278.0
UNIVERSITY OF RICHMOND	1048	80100850.0
UNIVERSITY OF SAN DIEGO	988	80040422.0
CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE	48	78795758.0
UNIVERSITY OF LOUISVILLE REAL ESTATE FOUNDATION INC	8	78739866.0
UNIVERSITY OF EVANSVILLE	674	78408818.0
UNIVERSITY OF LOUSIVILLE	10	75687676.0
THE UNIVERSITY OF SOUTHERN MISSISSIPPI	44	69872770.0
CHARLES R DREW UNIVERSITY OF MEDICINE AND SCIENCE	68	69540446.0
CATHOLIC UNIVERSITY OF AMERICA	534	69521668.0
UNIVERSITY OF SOUTHERN MISSISSIPPI	276	69513364.0
UNIVERSITY OF CAPE TOWN	156	68407786.0
UNIVERSITY OF STRATCHCLYDE	2	67733200.0
UNIVERSITY OF LOUISVILLE FOUNDATION INC	286	64950276.0
Diabetes Research Institute at University of Miami	10	64923718.0
BARUCH COLLEGE - THE CITY UNIVERSITY OF NY	10	63121810.0
UNIVERSITY OF AKRON FOUNDATION	360	60457944.0
UNIVERSITY OF SOUTHERN MAINE	244	60235934.0
University of PA	42	58945698.0
University of Southern CA	38	58286008.0
UNIVERSITY OF LOUISVILLE FOUNDATION	272	55792310.0
AMERICAN UNIVERSITY OF BEIRUT	320	53723970.0
UNIVERSITY OF MEMPHIS FOUNDATION	338	53707238.0
University of The Arts	4	52884094.0
University of Southern Indiana	36	51282896.0
FAIRFAX UNIVERSITY OF AMERICA	12	51200144.0
American University of Beirut	72	50764064.0
THE UNIVERSITY OF MEMPHIS	78	50518750.0
UNIVERSITY OF HOUSTON - HOUSTON PUBLIC MEDIA FOUNDATION	4	50512514.0
UNIVERSITY OF CENTRAL OKLAHOMA	178	49226096.0
University of North Georgia	16	47412714.0
UNIVERSITY OF CENTRAL MISSOURI	236	47307274.0
THE CATHOLIC UNIVERSITY OF AMERICA	200	46150456.0
UNIVERSITY OF DUNDEE	46	44788096.0
UNIVERSITY OF EDINBURGH	84	44462718.0
UNIVERSITY OF ALBERTA FOUNDATION USA INC	30	43845554.0
UNIVERSITY OF THE PACIFIC	396	43548846.0
METROPOLITAN STATE UNIVERSITY OF DENVER	92	43029156.0
UNIVERSITY OF THE ARTS	252	42163496.0
WESTERN UNIVERSITY OF HEALTH SCIENCES	138	41501960.0
UNIVERSITY OF CENTRAL ARKANSAS	168	41405530.0
UNIVERSITY OF INDIANAPOLIS	300	41003612.0
UNIVERSITY OF SOUTH FLORIDA FOUNDATION	268	40794944.0
UNIVERSITY MEDICAL CENTER INC DBA UNIVERSITY OF LOUISVILLE HOSPITAL	4	40675890.0
UNIVERSITY OF CAMBRIDGE	122	40367360.0
UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER	46	39948878.0
THE UNIVERSITY OF CINCINNATI	18	39021026.0
University of Denver	272	35750982.0
UNIVERSITY OF CO SCHOOL OF MEDICINE	14	34746306.0
University of Rochester	352	34669592.0
UNIVERSITY OF TORONTO	198	34617666.0
UNIVERSITY OF NORTHERN IOWA	516	34113820.0
CHAMINADE UNIVERSITY OF HONOLULU	146	34055148.0
UNIVERSITY OF NE FOUNDATION	50	33004362.0
UNIVERSITY OF MIAMI (SYLVESTER CANCER CENTER)	12	32116988.0
The University of Chicago Medicine	4	32050000.0
UNIVERSITY OF MARY WASHINGTON	150	31513020.0
Brown University of Providence	56	31460772.0
UNIVERSITY OF QUEENSLAND THE	24	31411768.0
UNIVERSITY OF BRITISH COLUMBIA	196	31384778.0
FAIRFAX UNIVERSITY OF AMERICA INC	2	31144886.0
ORIENTAL INSTITUTE OF THE UNIVERSITY OF CHICAGO	6	31134050.0
UNIVERSITY OF WEST GEORGIA	188	30989112.0
UNIVERSITY OF GHANA	64	30984250.0
UNIVERSITY OF PORTLAND	480	30847840.0
UNIVERSITY OF MIAMI ADVANCEMENT	16	30480516.0
UNIVERSITY OF PITTSBURGH CANCER INSTITUTE	56	30169546.0
UNIVERSITY OF MIAMI - MIAMI PROJECT TO CURE PARALYSIS	10	29849338.0
UNIVERSITY OF NORTHERN IOWA FOUNDATION	392	29720472.0
UNIVERSITY OF THE PEOPLE	74	29685722.0
UNIVERSITY OF HOUSTON FOUNDATION	298	29550802.0
UNIVERSITY OF DUBUQUE	286	28857708.0
UNIVERSITY OF PUGET SOUND	658	28337260.0
UNIVERSITY OF HOUSTON - HOUSTON PUBLIC MEDIA	2	27950220.0
UNIVERSITY OF EDINBURGH THE	16	27691018.0
The University of the Arts	6	27564016.0
UNIVERSITY OF MIAMI MILLER SCHOOL OF MEDICINE	94	27465452.0
UNIVERSITY OF DETROIT MERCY	428	27407750.0
UNIVERSITY OF HOUSTON - HOUSTON PUBLIC MEDIA DIV	2	27396564.0
UNIVERSITY OF THE OZARKS	162	27330220.0
