id,label,kind,layer,ideology,magnitude,ein,source_url,notes,logo,country,slices,n_slices
abbott,Diane Abbott,person,party,,2,,https://en.wikipedia.org/wiki/Diane_Abbott,UK Labour (Corbyn shadow cabinet); member of the Mar 2018 CPC-summit delegation,,UK,rls-germany,1
afgj,Alliance for Global Justice,org,center,,25,86-0736784,https://www.influencewatch.org/organization/alliance-for-global-justice/|https://www.influencewatch.org/organization/hatuey-project/|https://projects.propublica.org/nonprofits/organizations/522094677,"Fiscal sponsor of ~122 left projects; successor to Nicaragua Network || Stale banner copy only; no named 990 line || Tucson-based fiscal sponsor umbrella (~130 projects); Arc of Justice grantee ($271K+, FY2009-22) || Tucson AZ; ~$5.2M rev; fiscal sponsor of ~130-150 projects; successor to Nicaragua Network",afgj.png,US,afgj-interlock|afgj-projects|hatuey|iran-network|latam-solidarity,5
albamov,ALBA Movimientos,concept,state,,,,https://peoplesdispatch.org/2022/02/14/its-time-for-our-america-alba-movements-to-hold-third-continental-assembly-in-argentina/,Social-movements arm of ALBA-TCP; personnel overlap with IPA Secretariat,,Venezuela,latam-solidarity,1
alhusseini,Ibrahim AlHusseini,person,party,,6,,https://en.wikipedia.org/wiki/Ibrahim_AlHusseini,Co-founder; Potential unregistered foreign agent.,,,singham-spine,1
alvin_benjamin,Alvin Benjamin (1920-2012),person,money,,34,,https://www.benjamindevco.com/founder.html,"Real estate developer, founder/president of The Benjamin Companies ($2B+ combined development). Medea Benjamin's father. Estate contributed $23,803,450 to Arc of Justice via two distributions (FY2015 $15M, FY2019 $8.8M).",,,iran-network,1
anderson-figueroa,Jo Anderson-Figueroa,person,party,,3,,https://jis.gov.jm/jamaicans-receive-scholarships-from-china/,"Secretary/Director, People's Support Foundation (PSF); recipient of Chinese Government Scholarship (2009), studied at Jilin University, China (International Relations)",,,singham-spine,1
ann_wright,Ann Wright,person,context,,,,https://www.democracynow.org/2019/2/27/codepinks_medea_benjamin_on_peace_delegation,"Retired U.S. Army colonel/former diplomat; co-organizer with Medea Benjamin of the Feb 2019 28-person CODEPINK Tehran delegation, co-signed the pre-trip statement, met FM Zarif, and was subjected to the same FBI secondary-screening/interrogation as Benjamin upon return. Additional source: https://www.commondreams.org/newswire/2019/02/26/statement-medea-benjamin-and-ann-wright-us-peace-organization-codepink. Not previously a node in singham-spine.",,,iran-network,1
answer,ANSWER Coalition,org,party,ml,,,https://www.answercoalition.org/,"Brian Becker, National Coordinator || Co-founded by Chuck Kaufman; PSL-aligned antiwar front",answer.png,US,hatuey|latam-solidarity,2
arc_of_justice,"Arc of Justice (fka Benjamin Fund, Inc.)",org,money,,40,84-1618483,https://projects.propublica.org/nonprofits/organizations/841618483,EIN 84-1618483; Miami private foundation; funds CODEPINK and AFGJ,,,iran-network,1
arlen_gomez,Arlen Benjamin-Gomez,person,money,,16,,https://projects.propublica.org/nonprofits/organizations/841618483,"Secretary, Arc of Justice / Benjamin Fund, 2014-2018 (990-PF, listed as 'Arlen Gomez'). Medea Benjamin's elder daughter; JD NYU Law; currently Executive Director, EdTrust-New York.",,,iran-network,1
