filer_ein,filer_name,receipt_amt,govt_amt,contrib_amt,tax_year,xml_name
160956147,JUNIOR ACHIEVEMENT OF CENTRAL,1634241,0,1277611,2023,202412749349300831
383279782,ANN ARBOR DISTRICT LIBRARY,21281383,20790778,65577,2023,202402979349301950
330933946,WIXIM MINISTRIES INC,272318,272318,0,2023,202442829349301644
593340284,THE CHILDREN'S TABLE INC,486205,0,482064,2023,202442979349301694
455015494,INSTIGLIO INC,4891769,0,1144891,2023,202402829349301980
821043745,WISCONSIN VETERANS NETWORK INC,860169,26718,807422,2023,202422779349301217
311111795,SECOND HARVEST FOOD BANK OF EAST CENTRAL,20660515,4206039,15647455,2023,202442829349300519
237345298,CECIL COLLEGE FOUNDATION INC,3263221,0,736653,2023,202402769349301710
592227752,HEALTH COUNCIL OF EAST CENTRAL,816483,272674,35000,2023,202422989349300727
561382749,PENDER COUNTY CHRISTIAN SVCS INC,887047,118665,218892,2023,202412749349301421
203135260,HARMONY HOUSE INC,604153,450783,102746,2023,202422829349300312
463645897,RUSTIC HOPE INC,574728,14600,475128,2023,202412979349300326
135562424,ORT AMERICA INC,27855547,0,12183227,2023,202432769349300708
470828208,YANNEY HERITAGE PARK FOUNDATION INC,4080741,3131708,719345,2023,202402759349301340
473798912,Padrino Children's Foundation Inc,883823,0,661144,2023,202402829349301605
920242502,Contigo Ed Inc,1433281,0,410515,2023,202412849349302021
202343008,Friends of the Dillon Ranger District,674460,101149,358473,2023,202402719349301105
630516655,Birmingham Urban League Inc,7342507,5523196,1819311,2023,202412899349301971
930697099,RESTORE OREGON INC,655738,0,410612,2023,202402859349301045
202802514,JOHN JAY INSTITUTE FOR FAITH SOCIETY,669374,0,664693,2023,202422839349300847
161541024,RISE AGAINST HUNGER INC,71291764,1891889,68902567,2023,202412749349300806
050382511,JOHN CLARKE RETIREMENT CENTER,8544697,57100,196117,2023,202442719349301144
042749815,BOSTON BUILDING MATERIALS COOP CHARITABLE AND EDUCATIONAL FUND,1502606,0,851896,2023,202442969349301244
651079385,CHURCH OF THE HARVEST,510120,0,510120,2023,202422829349301532
680144298,CELESTIAL SERVICES INC,354658,354650,0,2023,202402969349301835
760677933,NETWORK OF EXECUTIVE WOMEN INC,10678946,191588,439339,2023,202432819349302368
842198820,JEWELS HELPING HANDS,1793943,205518,186549,2023,202442719349300519
813809173,INNER CITY INNOVATORS INC,478914,0,477196,2023,202412979349300426
262504678,Communities In Schools of Hampton Roads,2872775,1948894,625620,2023,202442759349300709
042104324,THE HOUSE OF THE SEVEN GABLES,3988905,0,546227,2023,202432859349300708
010598057,FRIENDS OF HOLLY HILL FARM INC,1300483,5723,325731,2023,202432919349300003
202854698,JOHN H & EVELYN L ASHTON,809613,0,426162,2023,202402829349301105
730972483,YOUTH & FAMILY SERVICES NORTH CENTRAL OK,2464073,2179283,254146,2023,202442909349301804
731566086,Childrens Advocacy Centers of Oklahoma,294639,0,272608,2023,202432909349300538
882168314,HUMANITE INC,318824,4015,313761,2023,202442969349301039
472864379,Sadagaat USA,1294453,0,1294453,2023,202402719349301605
201044674,HEMATOLOGYONCOLOGY PHARMACY ASSOCIATION,8473898,0,2327355,2023,202432969349300143
752623357,Cornerstone Community Development Corp Inc,732000,0,732000,2023,202412899349301696
341502974,SOCIETY FOR EQUAL ACCESS INDEPENDENT LIVING CENTER,1863461,1791640,43934,2023,202402899349300900
250969420,KEYSTONE BLIND ASSOCIATION,16975043,151076,188456,2023,202442769349300124
856300065,PROPERTIES TRUST,1701687,0,1580293,2023,202422749349301612
320100540,THE 180 ZONE,2691602,38880,940883,2023,202432889349301518
264341807,Foothills Caring Corps Inc,1068472,84043,730209,2023,202422889349301042
134364692,CASA OF OKLAHOMA COUNTY INC,3660786,255764,2799913,2023,202402889349302190
823037613,AUTONATION FOUNDATION INC,820136,0,819078,2023,202422789349301312
461609320,REAL MOMENTUM MINISTRIES INC,840652,0,757351,2023,202442839349301209
810618523,California Walks,733951,580579,46640,2023,202432969349301688
274581056,GOLF FORE LIFE SKILLS,1451145,146825,635108,2023,202422779349301517
450337818,NORTH DAKOTA RURAL WATER SYSTEMS,1815578,1240734,94743,2023,202432909349301713
461001385,KENT COUNTY REGIONAL SPORTS COMPLEX,2507053,123195,480620,2023,202402749349300405
823776671,RESIDENTIAL ASSISTED LIVING,683516,0,300000,2023,202432899349301918
830211345,MEALS ON WHEELS OF CHEYENNE INC,1907714,617539,816157,2023,202422919349301727
160926628,Rochester Regional Library Council,917297,713973,0,2023,202432819349300113
811941933,EARTHSPARK INTERNATIONAL CORP,451746,0,405113,2023,202432909349301013
570905724,DEE NORTON LOWCOUNTRY CHILDREN'S CENTER,5938131,1381275,2618175,2023,202412819349301956
200311647,TEENSMART INTERNATIONAL,582270,92971,483344,2023,202402959349302105
453942883,BREAST CANCER THINK TANK INC,419500,0,419500,2023,202442889349302119
581912838,ST MARY'S HOUSING CORP,474970,311437,0,2023,202412979349300311
542172556,CURRY PUBLIC TRANSIT,1408846,1277870,0,2023,202402789349300105
237078944,Humane Society of San Bernardino Valley,6834582,0,365688,2023,202402959349302150
272374187,Feeding Our Communities Partners,983501,5000,736059,2023,202422919349301292
931868288,EMPOWERING AMERICAN COMMUNITIES,582690,0,291395,2023,202412839349300026
463384976,SABRINA MEMORIAL FOUNDATION INC,418922,0,417540,2023,202432979349301868
582009823,DUNWOODY NATURE CENTER INC,1447987,320249,99026,2023,202422719349301802
311373323,NATIONAL CHURCH RESIDENCES OF,555432,296328,0,2023,202422969349300012
825129765,PROUD TO HOST THE BEST INC,315539,0,313500,2023,202412829349300121
461617742,BAND OF ANGELS CORP,608003,0,342477,2023,202442819349300334
363293115,Chicago Jobs Council,1143905,248080,654260,2023,202422929349300202
465559627,Alabama Small Business Development Initiative,265000,0,265000,2023,202442949349300104
251501365,ADAMS COUNTY CHRISTIAN ACADEMY,676100,0,265857,2023,202442769349301704
844027660,BELLWETHER INTERNATIONAL,268841,0,268841,2023,202442909349300314
420835321,JEWISH FEDERATION OF GREATER DES MOINES,3091261,0,1234511,2023,202422959349301782
831809711,Central Ohio Community Land Trust Corporation,11983199,6732254,0,2023,202422849349301542
581393271,FAYETTEVILLE SYMPHONY ORCHESTRA INC,553212,0,465242,2023,202402859349301010
852843815,CHRISTIAN LEADERS MINISTRIES INC,2094477,0,1478930,2023,202422839349301302
760444238,VANGURI FOUNDATION OF AMERICA,265120,0,265120,2023,202402819349301200
260876473,FRIEND HISTORICAL SOCIETY,335761,171500,93560,2023,202422899349301627
133100091,FRENCH HERITAGE SOCIETY INC,2557221,0,1290387,2023,202412849349302016
844746926,Maine Needs Inc,3000669,0,2942802,2023,202422829349300347
251762416,FAYETTE EMERGENCY MEDICAL SERVICE,9772956,3263,386621,2023,202402839349300615
921265289,BLACK CULTURAL INITIATIVE,415386,264000,151386,2023,202432959349301333
542037320,AFGHAN RELIEF FUND INC,342942,0,328803,2023,202442779349300714
596001426,Lightner Museum of Hobbies Inc,2630175,168161,255179,2023,202402979349301680
042103803,JEWISH HEALTHCARE CENTER INC,28312342,779536,79156,2023,202422719349301567
273822296,FIELD OF HOPE,315654,0,297135,2023,202422979349302052
222141661,New Hartford Public Library,388878,351525,25877,2023,202412929349301111
822558821,HUMANITAE ADVISORS,828807,0,827442,2023,202432889349300908
911780467,SIEGEL RARE NEUROIMMUNE ASSOCIATION,1270268,0,1222107,2023,202442849349300714
954804581,EDEN PEOPLEPLANET,35269146,0,34202492,2023,202412909349301446
540846925,RUFFED GROUSE SOCIETY,8160953,0,3852237,2023,202412929349300731
272147644,WORLD STRATEGIC FORUM INC,626250,0,596277,2023,202412959349300646
566167815,TOWNSHIP SIX FIRE DEPARTMENT OF CRAVEN,285839,285771,0,2023,202422769349300507
521485477,HEALTH VOLUNTEERS OVERSEAS INC,5811381,0,605690,2023,202402859349300630
593617977,BLESSED TRINITY HOUSING INC,633397,342932,0,2023,202402769349300130
874199208,ASCEND HOUSING ALLIES INCORPORATED,1404269,1350000,6500,2023,202422989349302102
841034023,TELLURIDE HISTORICAL MUSEUM INC,436721,217690,37762,2023,202402829349300725
232664739,FAMILY PROMISE OF THE MAIN LINE,406787,35000,343072,2023,202442909349300924
680463495,ANCOP FOUNDATION USA INC,1243289,0,555309,2023,202432909349300133
800146395,CALIFORNIA RETIREMENT MANAGEMENT ACCOUNT,1789345,0,1522500,2023,202442799349300509
731619790,The Tristesse Grief Center Inc,685826,53072,466427,2023,202422819349301137
111723782,United Cerebral Palsy Association of Nassau,44281176,1742137,428026,2023,202442989349300934
863185846,WIN THE DAY FOUNDATION INC,433942,0,433745,2023,202412889349302221
651142998,NEW MT ZION HUMAN SERVICES INC,369420,0,369420,2023,202422899349300007
231726531,Fulton County Library Inc,410221,88869,244604,2023,202412719349300116
330804576,California University of Management and Sciences,998294,0,325600,2023,202442779349301134
953660735,Las Familias Del Pueblo,541275,0,414200,2023,202402929349300135
810472379,MONTANA NATURAL HISTORY CENTER,911295,11900,535125,2023,202442779349300014
275020487,LIFE REMODELED,6003703,0,4159101,2023,202422969349301632
592588366,NEW LIFE SOLUTIONS INC,2549641,0,1592719,2023,202442819349300434
823248489,Aya House Inc,310520,0,310520,2023,202412839349301606
237258132,TOUCHSTONE CENTER FOR CRAFTS,796188,0,364595,2023,202412979349300411
300100088,PERFORMING ARTS CENTER EASTSIDE,1872201,162500,1666197,2023,202412939349300601
300656123,NATIONAL WILDERNESS STEWARDSHIP ALLIANCE,677731,665537,6094,2023,202442839349300329
060655136,WATKINSON SCHOOL,13373466,295903,1060634,2023,202402779349301120
911016445,AGRICULTURE AND FORESTRY EDUCATION FOUND,1160588,214215,747445,2023,202412959349300146
430837331,MISSOURI OZARKS COMMUNITY ACTION,13584550,13220867,54437,2023,202442919349300814
