filer_ein,grant_ein,tax_year,grant_amt
110303001,100000800,2022,27835
110303001,100003021,2022,21667
110303001,100007967,2022,16232
110303001,100008105,2022,59325
110303001,100008533,2022,54510
110303001,101180860,2022,7100
110303001,108267613,2022,6475
110303001,110332039,2022,1507050
110303001,110461385,2022,50000
110303001,111532426,2022,192700
110303001,111554072,2022,11600
110303001,111630741,2022,22291
110303001,111630753,2022,12122
110303001,111630780,2022,39600
110303001,111630821,2022,217650
110303001,111630822,2022,58330
110303001,111630830,2022,1582803
110303001,111630906,2022,1142065
110303001,111630912,2022,89400
110303001,111630914,2022,7250
110303001,111631747,2022,183000
110303001,111631783,2022,14050
110303001,111631788,2022,12000
110303001,111631798,2022,26750
110303001,111631820,2022,28200
110303001,111631823,2022,24000
110303001,111631827,2022,50975
110303001,111633484,2022,13500
110303001,111633485,2022,105675
110303001,111633516,2022,42100
110303001,111633522,2022,270824
110303001,111633549,2022,28240
110303001,111633568,2022,48550
110303001,111635081,2022,278835
110303001,111635083,2022,13960
110303001,111635089,2022,5500
110303001,111635105,2022,31400
110303001,111649914,2022,10850
110303001,111660855,2022,25423
110303001,111661352,2022,110300
110303001,111661359,2022,14500
110303001,111666852,2022,725414
110303001,111667765,2022,27050
110303001,111672743,2022,570512
110303001,111672825,2022,10500
110303001,111672827,2022,6960
110303001,111673938,2022,27000
110303001,111686380,2022,76390
110303001,111687477,2022,117707
110303001,111723811,2022,8975
110303001,111729398,2022,8200
110303001,111733439,2022,10600
110303001,111733454,2022,50750
110303001,111770097,2022,20400
110303001,111776034,2022,226850
110303001,111782495,2022,128130
110303001,111788788,2022,6931
110303001,111797166,2022,11150
110303001,111797182,2022,12400
110303001,111797183,2022,53625
110303001,111801729,2022,13100
110303001,111841899,2022,6060
110303001,111843801,2022,141050
110303001,111855654,2022,47600
110303001,111864959,2022,131600
110303001,111892401,2022,10250
110303001,111902968,2022,7530
110303001,111904261,2022,317415
110303001,111904262,2022,6525
110303001,111904329,2022,20025
110303001,111950787,2022,7450
110303001,111976051,2022,33044
110303001,111976223,2022,9000
110303001,112002556,2022,5250
110303001,112009643,2022,16400
110303001,112013303,2022,737154
110303001,112030172,2022,70618
110303001,112050523,2022,13550
110303001,112104059,2022,144800
110303001,112107335,2022,5400
110303001,112123274,2022,12325
110303001,112125411,2022,10000
110303001,112129868,2022,289100
110303001,112145062,2022,7875
110303001,112149235,2022,40400
110303001,112157326,2022,5295
110303001,112163504,2022,68533
110303001,112170961,2022,105381
110303001,112200920,2022,18010
110303001,112201344,2022,834990
110303001,112202589,2022,36101
110303001,112204939,2022,13750
110303001,112213686,2022,112085
110303001,112222173,2022,9030
110303001,112222807,2022,12000
110303001,112247307,2022,156734
110303001,112278998,2022,12500
110303001,112284823,2022,5250
110303001,112285495,2022,29350
110303001,112307925,2022,10434
110303001,112357063,2022,53521
110303001,112368016,2022,10300
110303001,112368182,2022,7190
110303001,112375583,2022,7500
110303001,112386540,2022,47754
110303001,112394864,2022,12771
110303001,112417338,2022,195936
110303001,112418771,2022,5600
110303001,112419184,2022,40722
110303001,112422452,2022,13120
110303001,112425813,2022,16550
110303001,112434546,2022,350000
110303001,112436149,2022,7500
110303001,112444676,2022,12600
110303001,112449994,2022,103654
110303001,112451587,2022,5850
110303001,112454790,2022,300674
110303001,112475743,2022,12250
110303001,112480339,2022,40780
110303001,112490531,2022,112100
110303001,112494808,2022,85545
110303001,112495601,2022,5179000
110303001,112495664,2022,35250
110303001,112496305,2022,26600
110303001,112501388,2022,262729
110303001,112503193,2022,13100
110303001,112508369,2022,5100
110303001,112509831,2022,67480
110303001,112517055,2022,46500
110303001,112517191,2022,19750
110303001,112519726,2022,26220
110303001,112524512,2022,214508
110303001,112524542,2022,26139
110303001,112546437,2022,39620
110303001,112547268,2022,16900
110303001,112549027,2022,59300
110303001,112553513,2022,26769
110303001,112561648,2022,11150
110303001,112567809,2022,107045
110303001,112575133,2022,94000
110303001,112586564,2022,48790
110303001,112590825,2022,13400
110303001,112594653,2022,23500
110303001,112594790,2022,275550
110303001,112597077,2022,12500
110303001,112606526,2022,52018
110303001,112606681,2022,522750
110303001,112611384,2022,111550
110303001,112613334,2022,76803
110303001,112615291,2022,31750
110303001,112620778,2022,14000
110303001,112622003,2022,1501300
110303001,112623719,2022,66037
110303001,112632404,2022,229050
110303001,112637224,2022,18301
110303001,112642556,2022,66480
110303001,112642599,2022,113421
110303001,112642641,2022,15150
110303001,112645641,2022,86591
110303001,112652182,2022,23935
110303001,112655780,2022,27585
110303001,112656137,2022,70100
110303001,112656357,2022,60193
110303001,112664878,2022,432375
110303001,112665242,2022,143190
110303001,112667021,2022,260835
110303001,112667800,2022,21500
110303001,112670783,2022,17200
110303001,112673595,2022,95000
110303001,112676892,2022,432451
110303001,112693305,2022,121057
110303001,112694906,2022,48664
110303001,112697261,2022,272285
110303001,112706563,2022,37446
110303001,112714670,2022,150000
110303001,112724905,2022,118100
110303001,112725213,2022,7000
110303001,112728736,2022,45514
110303001,112730714,2022,77200
110303001,112734849,2022,75895
110303001,112739039,2022,72750
110303001,112739496,2022,28550
110303001,112740189,2022,130750
110303001,112741490,2022,157116
110303001,112750798,2022,43020
110303001,112764747,2022,792325
110303001,112767098,2022,30150
110303001,112777066,2022,19450
110303001,112779073,2022,33911
110303001,112783877,2022,6000
110303001,112818704,2022,18522
110303001,112828494,2022,12000
110303001,112840553,2022,6500
110303001,112843763,2022,303290
110303001,112848726,2022,8550
110303001,112849619,2022,36116
110303001,112859284,2022,50500
110303001,112862256,2022,17910
110303001,112864728,2022,7500
110303001,112865518,2022,7300
110303001,112878502,2022,447380
110303001,112879462,2022,28490
110303001,112880221,2022,22750
110303001,112889774,2022,51780
110303001,112899820,2022,50000
110303001,112906454,2022,38318
110303001,112908992,2022,18680
110303001,112916033,2022,187200
110303001,112925751,2022,8000
110303001,112926958,2022,17700
110303001,112936410,2022,8150
110303001,112940331,2022,1501095
110303001,112946185,2022,25000
110303001,112949583,2022,9065
110303001,112954223,2022,10000
110303001,112965575,2022,1033712
110303001,112966678,2022,10560
110303001,112967060,2022,17169
110303001,112974154,2022,265474
110303001,112981112,2022,760781
110303001,112983422,2022,21600
110303001,113001793,2022,53100
110303001,113009405,2022,22506
110303001,113013369,2022,1428793
110303001,113021017,2022,16513
110303001,113028613,2022,52950
110303001,113032836,2022,78425
110303001,113035221,2022,9500
110303001,113036558,2022,114915
110303001,113041480,2022,14004
110303001,113041660,2022,78550
110303001,113043090,2022,34382
110303001,113048002,2022,61450
110303001,113063407,2022,136250
110303001,113064802,2022,7200
110303001,113071518,2022,5780
110303001,113090640,2022,38000
110303001,113095240,2022,67315
110303001,113097675,2022,56805
110303001,113099604,2022,10920
110303001,113105457,2022,105890
110303001,113107848,2022,9561
110303001,113108137,2022,11580
110303001,113108678,2022,8000
110303001,113111694,2022,6750
110303001,113112635,2022,76350
110303001,113129249,2022,22700
110303001,113135077,2022,47800
110303001,113136350,2022,90853
110303001,113142753,2022,17080
110303001,113147591,2022,5973
110303001,113149111,2022,14660
110303001,113150521,2022,33090
110303001,113158401,2022,650746
110303001,113167245,2022,8200
110303001,113172538,2022,128880
110303001,113174514,2022,44150
110303001,113183005,2022,54100
110303001,113194564,2022,5900
110303001,113195338,2022,258796
110303001,113198837,2022,58950
110303001,113207504,2022,6000
110303001,113220788,2022,228647
110303001,113223996,2022,38400
110303001,113232441,2022,13580
110303001,113241841,2022,5350
110303001,113247651,2022,279600
110303001,113253406,2022,17706
110303001,113271622,2022,77388
110303001,113272603,2022,86418
110303001,113295174,2022,193960
110303001,113295965,2022,10036
110303001,113296103,2022,31325
110303001,113299408,2022,25330
110303001,113301898,2022,15390
110303001,113302338,2022,7750
110303001,113302801,2022,16950
110303001,113304063,2022,37350
110303001,113305406,2022,87700
110303001,113306731,2022,5220
110303001,113309547,2022,25000
110303001,113310069,2022,5225
110303001,113313534,2022,16385
110303001,113314191,2022,9150
110303001,113318718,2022,10300
110303001,113321933,2022,5450
110303001,113327144,2022,29500
110303001,113329205,2022,82400
110303001,113329711,2022,7127
110303001,113331303,2022,5580
110303001,113335344,2022,9747
110303001,113344389,2022,10303197
110303001,113348050,2022,35604
110303001,113350298,2022,5732
110303001,113353161,2022,92850
110303001,113355081,2022,471637
110303001,113361248,2022,11555
110303001,113364887,2022,7182
110303001,113372980,2022,21950
110303001,113381629,2022,6000
110303001,113384848,2022,30300
110303001,113394747,2022,283910
110303001,113401024,2022,9440
110303001,113403453,2022,127175
110303001,113409551,2022,13500
110303001,113411201,2022,11694
110303001,113418416,2022,6382
110303001,113422018,2022,6250
110303001,113422729,2022,183500
110303001,113427755,2022,60000
110303001,113431939,2022,308950
110303001,113444169,2022,26000
110303001,113444285,2022,5300
110303001,113450363,2022,102860
110303001,113450678,2022,30400
110303001,113451703,2022,2627326
110303001,113459952,2022,2447543
110303001,113463309,2022,244388
110303001,113466176,2022,1565600
110303001,113466516,2022,199450
110303001,113466707,2022,49510
110303001,113473757,2022,559796
110303001,113483921,2022,7200
110303001,113485351,2022,18000
110303001,113485631,2022,11550
110303001,113485736,2022,1191435
110303001,113487526,2022,485739
110303001,113488344,2022,5357
110303001,113488704,2022,22175
110303001,113489123,2022,30000
110303001,113489855,2022,10250
110303001,113501981,2022,60920
110303001,113503763,2022,502300
110303001,113506262,2022,20500
110303001,113513330,2022,7000
110303001,113516620,2022,5510
110303001,113518767,2022,29650
110303001,113519275,2022,25305
110303001,113527658,2022,10880
110303001,113533002,2022,3658198
110303001,113539334,2022,33183
110303001,113539597,2022,13000
110303001,113539890,2022,11820
110303001,113550614,2022,29080
110303001,113558761,2022,8027
110303001,113560625,2022,6350
110303001,113561811,2022,18800
