geocoding_id,canonical_address,normalized_address,geocoding_status,address_count
019ab7c7-2f1e-7373-6f4a-61120efff6c8,"10 S Dearborn Il1-0111, Chicago, Il, 60603","{""id"": 0, ""street"": ""10 S DEARBORN IL1-0111"", ""city"": ""CHICAGO"", ""state"": ""IL"", ""zip"": ""60603""}",No_Match,6061
019ab858-34c4-7826-7d8b-bafca98b9768,"500 First Ave P7-Pfsc-03-Z, Pittsburgh, Pa, 15219","{""id"": 0, ""street"": ""500 FIRST AVE P7-PFSC-03-Z"", ""city"": ""PITTSBURGH"", ""state"": ""PA"", ""zip"": ""15219""}",No_Match,5598
019ab7ca-aabd-7267-956e-f8c55a8bbc5c,"4900 Tiedeman Road Oh-01-49-0381, Brooklyn, Oh, 44144","{""id"": 0, ""street"": ""4900 TIEDEMAN ROAD OH-01-49-0381"", ""city"": ""BROOKLYN"", ""state"": ""OH"", ""zip"": ""44144""}",No_Match,1963
019ab3e0-364b-7e1c-91dd-6a3450d26d80,"5001 Angel Canyon Road, Kanab, Ut, 84741","{""id"": 0, ""street"": ""5001 ANGEL CANYON ROAD"", ""city"": ""KANAB"", ""state"": ""UT"", ""zip"": ""84741""}",No_Match,1618
019ab3e0-b7c6-7d09-a6b4-e1eacadc027c,"31 Evans Terminal, Hillside, Nj, 07205","{""id"": 0, ""street"": ""31 EVANS TERMINAL"", ""city"": ""HILLSIDE"", ""state"": ""NJ"", ""zip"": ""07205""}",No_Match,1532
019ab3e7-ff00-7158-edc9-2180aed371dc,"5001 Angel Canyon Rd, Kanab, Ut, 84741","{""id"": 0, ""street"": ""5001 ANGEL CANYON RD"", ""city"": ""KANAB"", ""state"": ""UT"", ""zip"": ""84741""}",No_Match,1318
019ab40f-1d55-7a9c-02e5-01ed548f8ec0,"3677 Mapleshade Lane, Plano, Tx, 75075","{""id"": 0, ""street"": ""3677 MAPLESHADE LANE"", ""city"": ""PLANO"", ""state"": ""TX"", ""zip"": ""75075""}",No_Match,1249
019ab3e6-7d3f-7caf-1029-259f96f68780,"1000 Lake Cook Road, Glencoe, Il, 60022","{""id"": 0, ""street"": ""1000 LAKE COOK ROAD"", ""city"": ""GLENCOE"", ""state"": ""IL"", ""zip"": ""60022""}",No_Match,1083
019ab3fd-fa90-7d78-cef0-1bc614c2efd4,"4900 Puerto Rico Ave Ne, Washington, Dc, 20017","{""id"": 0, ""street"": ""4900 PUERTO RICO AVE NE"", ""city"": ""WASHINGTON"", ""state"": ""DC"", ""zip"": ""20017""}",No_Match,1014
019ab7a5-b9a8-7d32-277b-e4f4c55b1e58,"Available On Charity Website, New York, Ny, 10119","{""id"": 0, ""street"": ""AVAILABLE ON CHARITY WEBSITE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10119""}",No_Match,996
019ab3ed-2503-7867-2066-48b0abc7ecac,"2900 Rocky Point Dr, Tampa, Fl, 33607","{""id"": 0, ""street"": ""2900 ROCKY POINT DR"", ""city"": ""TAMPA"", ""state"": ""FL"", ""zip"": ""33607""}",No_Match,987
