filer_ein,filer_name,receipt_amt,govt_amt,contrib_amt,tax_year,xml_name,is_daf,return_type,serialized_graph
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,26954052170,0,12623545644,2022,202441369349301334,1,990,
113269182,NATIONAL ACTION NETWORK INC,8432584,0,8409975,2023,202443199349319459,1,990,"131840489,352124772,1000000;132617681,113269182,100000;133030229,132617681,5190;133615533,381357020,50218;135562308,132617681,69953;135613797,381357020,302500;137029285,521481896,579500;232657933,132617681,45096;250965591,381357020,7072;352124772,113269182,5000;362177139,381357020,100980;364619621,381357020,10000;381357020,113269182,5000;390806190,132617681,11422;480547688,132617681,6166;520595110,381357020,1663523;521243457,113269182,10000;521344831,133615533,450000;521481896,521243457,3795000;521706646,381357020,154215;521974611,381357020,30000;580566256,381357020,26500;581973324,521243457,15250;841661910,521243457,15000"
113422729,BROOKLYN COMMUNITY FOUNDATION,55083194,0,17899187,2022,202441229349301439,1,990,
116107128,ENVIRONMENTAL DEFENSE FUND INCORPORATED,502744237,4614195,230867250,2022,202431379349302338,1,990,
131623838,ENGENDERHEALTH INC,37926563,29683250,6624209,2023,202540509349301404,1,990,
131635294,UNITED WAY WORLDWIDE,73224107,461683,19456235,2023,202402909349301100,1,990,
131644147,PLANNED PARENTHOOD FEDERATION OF,560200864,0,357348331,2022,202430609349301343,1,990,"110303001,131644147,127002336;133573852,131644147,50000;133615533,131644147,1180000;135598093,131644147,668933;135613797,941156365,21952909;137029285,311640316,450000;232657933,131644147,13186;237413005,131644147,5480;311640316,131644147,21920600;430653611,135598093,7025375;510198509,131644147,565207;520595110,237413005,15625757;521338892,521818273,198953;521344831,133615533,450000;521818273,133615533,49920;580566256,941156365,12400006;582368165,131644147,1125000;590624458,135598093,13981450;746065414,110303001,301322;810739440,131644147,21526376;941156365,131644147,10000;943070617,810739440,546766;943213100,510198509,34204270;951922279,110303001,104696"
131656647,FREEDOM HOUSE,91117906,80002507,8833061,2023,202511139349301571,1,990,
131685039,COOPERATIVE FOR ASSISTANCE AND RELIEF,940046139,366908715,528062018,2023,202413549349300521,1,990,
131740011,Wildlife Conservation Society,455041590,92806940,107373620,2022,202401329349301150,1,990,
131760110,UNITED STATES FUND FOR UNICEF,744726336,0,708119592,2023,202510859349300926,1,990,
131840489,NATIONAL URBAN LEAGUE INC,144697428,33351006,35417673,2023,202402999349302015,1,990,
131941627,VERA INSTITUTE OF JUSTICE INC,331535852,207183891,51594349,2022,202411369349319281,1,990,
132612524,FUND FOR THE CITY OF NEW YORK INC,67312664,14284802,36831412,2022,202431799349300308,1,990,
132617681,UNITED WAY OF NEW YORK CITY,66575345,42792102,8604006,2022,202441229349300019,1,990,
132630359,REPRODUCTIVE FREEDOM FOR ALL,11793815,0,9865992,2022,202412269349301606,1,990,"110303001,510198509,61305834;131941627,510198509,35000;133615533,510198509,2280000;133871360,132630359,110000;137029285,205806345,8458000;205806345,834011547,24024243;330047994,510198509,69500;420680387,510198509,50000;472981893,943213100,177099;510198509,132630359,350000;521344831,133615533,450000;521469738,133871360,50000;521693387,510198509,67500;746065414,110303001,301322;834011547,132630359,400000;840399006,943213100,647500;941156365,510198509,500000;941646278,943213100,656283;942952578,943213100,103250;943070617,943213100,97850;943213100,510198509,34204270;951922279,110303001,104696;954302067,943213100,175000;954723901,943213100,99974"
132644641,FRIENDS OF THE EARTH (ACTION) INC,1342646,0,1042646,2022,202411369349313401,1,990,"131941627,510198509,35000;133615533,237420660,540000;137029285,205806345,8458000;205806345,943153687,100000;237420660,132644641,900000;237444497,943213100,60000;330047994,510198509,69500;362177139,943213100,45000;420680387,510198509,50000;472981893,943213100,177099;510198509,943153687,118224658;521344831,133615533,450000;521693387,510198509,67500;840399006,943213100,647500;941156365,510198509,500000;941646278,943213100,656283;942952578,943213100,103250;943070617,943213100,97850;943153687,132644641,300000;943213100,943153687,21402017;952810095,943213100,40000;954302067,943153687,40000;954723901,943213100,99974;954782503,943213100,85000"
132654926,NATURAL RESOURCES DEFENSE COUNCIL INC,555076417,0,135713206,2022,202401349349304565,1,990,
132702768,PACT INC,156416354,149717276,3665235,2022,202432059349301213,1,990,
132758558,NATIONAL EMPLOYMENT LAW PROJECT,15532989,0,11151204,2023,202443209349309829,1,990,"110303001,132758558,5386840;131740011,133615533,175000;133615533,132758558,1000000;137029285,311640316,450000;311594197,133615533,100000;311640316,132758558,17800;366144537,520880375,524470;520595110,520880375,510917;520880375,132758558,250000;521130140,520880375,390501;521141804,821517696,5991647;521231931,520880375,523954;521257057,133615533,125000;521338892,521818273,198953;521344831,133615533,450000;521693387,133615533,685000;521818273,133615533,49920;530242652,133615533,64000;746065414,110303001,301322;821517696,132758558,240000;941156365,110303001,270000;943213100,133615533,768000;951922279,110303001,104696"
132893010,Democratic Socialists of America Fund Inc,412359,0,401830,2023,202413209349323046,1,990,
132947657,SERVICES AND ADVOCACY FOR GAY LESBIAN,18960875,7225575,7831546,2023,202520739349301807,1,990,
132950801,NORTH STAR FUND INC,39014751,0,13558916,2023,202521139349300007,1,990,
132992977,THE ASTRAEA FOUNDATION INC,20238504,3928254,5707729,2022,202431369349308438,1,990,
