source,target,relation,layer,confidence,directed,label,source_url,slices,evidence,receipt
abbott,uk_labour,member,party,confirmed,no,UK Labour MP,https://en.wikipedia.org/wiki/Diane_Abbott,rls-germany,,
afgj,ev_nica_delegation_2021,organized,state,confirmed,yes,organized (via Nicaragua Network),https://afgj.org/statement-of-the-international-delegation-to-nicaragua-july-18-25-2021,latam-solidarity,,
afgj,ev_nica_election_2021,endorsed,state,inferred,yes,'declared full confidence' (no formal observer status),https://www.influencewatch.org/non-profit/alliance-for-global-justice/,latam-solidarity,,
afgj,ev_vz_election_2024,accompanied,veneer,confirmed,yes,organized 17-person accompaniment (Jul 21-31),https://afgj.org/communique-august-2-2024-alliance-for-global-justice-delegation-demands-respect-for-venezuelas-democracy-in-light-of-july-28-elections,latam-solidarity,,
afgj,ev_vz_election_2024,endorsed,veneer,confirmed,yes,statement signatory,https://peoplesforum.org/venezuela-elections,latam-solidarity,,
afgj,hatuey,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (International Solidarity),https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/hatuey-project/|https://www.radiohc.cu/en/the-hatuey-project-of-the-united-states-reaffirms-its-solidarity-with-cuba/|https://www.influencewatch.org/organization/alliance-for-global-justice/,hatuey,,
nicanet,afgj,project_of,money,confirmed,yes,absorbed as AFGJ project (1998),https://afgj.org/programs/nicaragua-network|https://afgj.org/fsp,latam-solidarity,Nicaragua Network folded/absorbed into AFGJ as a project (1979→1998),https://www.influencewatch.org/organization/alliance-for-global-justice/
afgj,p_411_collective,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Art),https://www.411collective.com/|https://www.influencewatch.org/organization/411-collective|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_action_bail_fund,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Bail),https://afgj.salsalabs.org/actionbailfund/index.html|https://www.influencewatch.org/organization/action-bail-fund/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-projects,,
afgj,p_adastra,fiscal_sponsor,money,confirmed,yes,fiscal sponsor (Administrative),https://adastra.management/about|https://www.influencewatch.org/organization/adastra-collective/|https://web.archive.org/web/20250214122517/https://afgj.org/sponsored-projects/fiscally-sponsored-projects/fiscally-sponsored-projects|https://www.influencewatch.org/organization/alliance-for-global-justice/,afgj-interlock|afgj-projects,,
