filer_ein,filer_name,receipt_amt,govt_amt,contrib_amt,tax_year,xml_name,is_daf,return_type,serialized_graph
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,26954052170,0,12623545644,2022,202441369349301334,1,990,
116107128,ENVIRONMENTAL DEFENSE FUND INCORPORATED,502744237,4614195,230867250,2022,202431379349302338,1,990,
131635294,UNITED WAY WORLDWIDE,73224107,461683,19456235,2023,202402909349301100,1,990,
131740011,Wildlife Conservation Society,455041590,92806940,107373620,2022,202401329349301150,1,990,
131760110,UNITED STATES FUND FOR UNICEF,744726336,0,708119592,2023,202510859349300926,1,990,
131840489,NATIONAL URBAN LEAGUE INC,144697428,33351006,35417673,2023,202402999349302015,1,990,
131941627,VERA INSTITUTE OF JUSTICE INC,331535852,207183891,51594349,2022,202411369349319281,1,990,
132612524,FUND FOR THE CITY OF NEW YORK INC,67312664,14284802,36831412,2022,202431799349300308,1,990,
132630359,REPRODUCTIVE FREEDOM FOR ALL,11793815,0,9865992,2022,202412269349301606,1,990,"110303001,510198509,61305834;131941627,510198509,35000;133615533,510198509,2280000;133871360,132630359,110000;137029285,205806345,8458000;205806345,834011547,24024243;330047994,510198509,69500;420680387,510198509,50000;472981893,943213100,177099;510198509,132630359,350000;521344831,133615533,450000;521469738,133871360,50000;521693387,510198509,67500;746065414,110303001,301322;834011547,132630359,400000;840399006,943213100,647500;941156365,510198509,500000;941646278,943213100,656283;942952578,943213100,103250;943070617,943213100,97850;943213100,510198509,34204270;951922279,110303001,104696;954302067,943213100,175000;954723901,943213100,99974"
132950801,NORTH STAR FUND INC,39014751,0,13558916,2023,202521139349300007,1,990,
132992977,THE ASTRAEA FOUNDATION INC,20238504,3928254,5707729,2022,202431369349308438,1,990,
133030229,LOCAL INITIATIVES SUPPORT CORPORATION,496002870,142788409,89256728,2023,202433109349300918,1,990,
133191113,NEO Philanthropy Inc,179580903,0,164174117,2023,202413059349301031,1,990,
133573409,NEW YORK IMMIGRATION COALITION INC,12391656,6791563,4754312,2022,202401309349305025,1,990,
133615533,ROCKEFELLER PHILANTHROPY ADVISORS INC,856776919,27306551,583125620,2023,202433159349300308,1,990,
133669731,THE CENTER FOR REPRODUCTIVE RIGHTS INC,71598174,0,59805065,2023,202501059349301965,1,990,
133848582,FJC,218772108,0,48184587,2023,202540489349301704,1,990,
133871360,AMERICAN CIVIL LIBERTIES UNION INC,177082322,0,42251663,2023,202433279349301038,1,990,"110303001,510198509,61305834;131941627,510198509,35000;133615533,510198509,2280000;137029285,311640316,450000;237332048,261712580,211750;261712580,133871360,25000;311640316,510198509,17874343;330047994,510198509,69500;420680387,510198509,50000;472981893,943213100,177099;510198509,133871360,50000;521344831,133615533,450000;521469738,133871360,50000;521693387,510198509,67500;746065414,110303001,301322;840399006,943213100,647500;941156365,510198509,500000;941646278,943213100,656283;942952578,943213100,103250;943153687,133871360,400000;943213100,510198509,34204270;951922279,110303001,104696;954302067,943153687,40000;954723901,943213100,99974"
